FractalName,CenterX,CenterY,Zoom
SpiderVariant,-0.25,-0.02,0.61557221
SprottB,0,0,1
Sqr1OverTrig,0,0,1
SqrTrig,0,0,1
StalksConditional,-0.15,-0.01,0.735656682
StripeAverage,-0.18,0,0.8
Svensson,0,-0.01,0.183599419
TanhMandelbrot,0,0,0.053845235
Tetrate,-1.5,0,1
TetrationClassic,-0.22,0.05,0.240196567
TetrationPowerTower,1,0,0.080214118
TetrationZtoZ,-1.12,0.18,0.079012646
Thomas,0,0,1
Thorn,-0.21,-0.02,0.5
ThornClassic,0,0,3.425286458
Tinkerbell,-0.45,-0.53,0.75
TreeIFS,-0.01,1.03,2.03470441
TriangleOrbitTrap,-0.34,0,0.2
Tricorn,-0.25,0.04,0.430765211
Tricorn3,0,0,0.6
Tricorn4,0,0,0.6
TricornDEM,0,0,1
TricornPhoenixHybrid,-0.58,-0.11,1.655235762
Tricorn-Poly,0,0,0.45471497
TrigMandelBlend,-0.37,-0.01,0.72127014
TrigPlusTrig,0,0,1
TrigSqr,0,0,1
TrigXTrig,0,0,1
Unity,0,0,1
VerticalBurningShip,0,0,1
Wavy,0,0,1
WavyMandelbrot,-0.11,-0.04,0.519313135
WeierstrassP,-7.08,0.15,0.19299539
ZToTheZ,0.5,0,2
Zubieta,0,0,5.859042837
ZxTrigPlusZ,0,0,1
DigammaFractal,-1,0,0.5
TrigammaFractal,-0.253437722,0.002855142,0.325449642
FermiDiracFractal,-0.475222657,3.148505639,0.585162602
PlanckFractal,0.008336228,0.041681139,0.083042863
BoseEinsteinFractal,0.34,0.02,3.8668516347E-01
RLCCircuitFractal,-1.04,0.08,4.3527528165E-01
DampedOscillatorFractal,0.00,0.00,1.2500000000E-01
RootLocusFractal,0.08,-0.50,1.3158135283E+00
